"Title","Publish Year","Authors","Rating","Image Uri","Amazon Uri","Content Uri","Content Type","Category Group Name","Category Name","Reflection"
"Windows Internals Part 1","2012","Mark E. Russinovich, David A. Solomon, Alex Ionescu ","0.00","http://ecx.images-amazon.com/images/I/41HUCnAVYLL._SX408_BO1,204,203,200_.jpg","http://www.amazon.com/Windows-Internals-Part-Developer-Reference/dp/0735648735/ref=sr_1_1?s=books&ie=UTF8&qid=1456837683&sr=1-1&keywords=Windows+Internals+Part+1","","","Software Engineering","Programming",""
"Windows Internals Part 2","2012","Mark E. Russinovich, David A. Solomon, Alex Ionescu","0.00","http://ecx.images-amazon.com/images/I/41f6W36bjTL._SX405_BO1,204,203,200_.jpg","http://www.amazon.com/Windows-Internals-Part-Developer-Reference/dp/0735665877/ref=sr_1_2?s=books&ie=UTF8&qid=1456837683&sr=1-2&keywords=Windows+Internals+Part+1","","","Software Engineering","Programming",""
"C++ AMP (Developer Reference)","2012","Ade Miller, Kate Gregory","0.00","http://ecx.images-amazon.com/images/I/41fTWwahgmL._SX408_BO1,204,203,200_.jpg","http://www.amazon.com/AMP-Developer-Reference-Ade-Miller/dp/0735664730/ref=sr_1_1?s=books&ie=UTF8&qid=1456832179&sr=1-1&keywords=C%2B%2B+Amp","","","Software Engineering","Programming",""
"The C++ Standard Library","2012","Nicolai M. Josuttis","0.00","http://ecx.images-amazon.com/images/I/5108SrrM%2BqL._SX406_BO1,204,203,200_.jpg","http://www.amazon.com/Standard-Library-Tutorial-Reference-2nd/dp/0321623215/ref=sr_1_1?s=books&ie=UTF8&qid=1456832226&sr=1-1&keywords=The+C%2B%2B+Standard+Library","","","Software Engineering","Programming",""
"C++ Concurrency in Action: Practical Multithreading","2012","Anthony Williams","0.00","http://ecx.images-amazon.com/images/I/51nuLYxU2iL._SX397_BO1,204,203,200_.jpg","http://www.amazon.com/C-Concurrency-Action-Practical-Multithreading/dp/1933988770/ref=sr_1_1?s=books&ie=UTF8&qid=1456832289&sr=1-1&keywords=C%2B%2B+Concurrency+in+Action","","","Software Engineering","Programming",""
"CLR Via C#","2012","Jeffrey Richter","0.00","http://ecx.images-amazon.com/images/I/41zZ5aN3ypL._SX408_BO1,204,203,200_.jpg","http://www.amazon.com/CLR-via-4th-Developer-Reference/dp/0735667454/ref=sr_1_1?s=books&ie=UTF8&qid=1456829606&sr=1-1&keywords=CLR+Via+C%23+2012","","","Software Engineering","Programming",""
"Microsoft Visual C# 2012 step by step","2012","John Sharp","0.00","http://ecx.images-amazon.com/images/I/5136EY%2ByTnL._SX408_BO1,204,203,200_.jpg","http://www.amazon.com/Microsoft-Visual-2012-Step-Developer/dp/0735668019/ref=sr_1_1?s=books&ie=UTF8&qid=1456829667&sr=1-1&keywords=Microsoft+Visual+C%23+2012+step+by+step","","","Software Engineering","Programming",""
"A Programmer's Guide to C# 5.0","2012","Eric Gunnerson, Nick Wienholt","0.00","http://ecx.images-amazon.com/images/I/51iuKhG6njL._SX404_BO1,204,203,200_.jpg","http://www.amazon.com/Programmers-Guide-Experts-Voice-NET/dp/143024593X/ref=sr_1_1?s=books&ie=UTF8&qid=1456830011&sr=1-1&keywords=A+Programmer%27s+Guide+to+C%23+5.0","","","Software Engineering","Programming",""
"Programming C# 5.0","2012","Ian Griffiths","0.00","http://ecx.images-amazon.com/images/I/41H-xpdLCoL._SX379_BO1,204,203,200_.jpg","http://www.amazon.com/Programming-5-0-Building-Applications-Framework/dp/1449320414/ref=sr_1_1?s=books&ie=UTF8&qid=1456829894&sr=1-1&keywords=Programming+C%23+5.0+Ian+Griffiths+2013","","","Software Engineering","Programming",""
"Beginning Visual C++ 2013","2013","Ivor Horton","0.00","http://ecx.images-amazon.com/images/I/51ArQVG9iPL._SX397_BO1,204,203,200_.jpg","http://www.amazon.com/Ivor-Hortons-Beginning-Visual-Guides/dp/1118845714/ref=sr_1_1?s=books&ie=UTF8&qid=1456832129&sr=1-1&keywords=Beginning+Visual+C%2B%2B","","","Software Engineering","Programming",""
"Essential C# 5.0","2013","Mark Michaelis, Eric Lippert","0.00","http://ecx.images-amazon.com/images/I/41DdWVXHyDL._SX378_BO1,204,203,200_.jpg","http://www.amazon.com/Essential-5-0-Microsoft-Windows-Development/dp/0321877586/ref=sr_1_1?s=books&ie=UTF8&qid=1456829791&sr=1-1&keywords=Essential+C%23+5.0","","","Software Engineering","Programming",""
"Beginning C# Object-Oriented Programming","2013","Dan Clark","0.00","http://ecx.images-amazon.com/images/I/51xhQ4k1c-L._SX405_BO1,204,203,200_.jpg","http://www.amazon.com/Beginning-Object-Oriented-Programming-Experts-Voice/dp/1430249358/ref=sr_1_1?s=books&ie=UTF8&qid=1456829839&sr=1-1&keywords=Beginning+C%23+Object+Oriented+Programming","","","Software Engineering","Programming",""
"The C++ Programming Language","2013","Bjarne Stroustrup","0.00","http://ecx.images-amazon.com/images/I/512IjuTNc-L._SX402_BO1,204,203,200_.jpg","http://www.amazon.com/Programming-Language-hardcover-4th/dp/0321958322/ref=mt_hardcover?_encoding=UTF8&me=","","","Software Engineering","Programming",""
"Advanced Programming in the Unix environment","2013","W. Richard Stevens, Stephen A. Rago","0.00","http://ecx.images-amazon.com/images/I/5160yLwNOZL._SX402_BO1,204,203,200_.jpg","http://www.amazon.com/Advanced-Programming-UNIX-Environment-3rd/dp/0321637739/ref=sr_1_1?s=books&ie=UTF8&qid=1456836677&sr=1-1&keywords=Advanced+Programming+in+the+Unix+environment","","","Software Engineering","Programming",""
"Exercises in Programming Style","2014","Cristina Videira Lopes","0.00","http://ecx.images-amazon.com/images/I/51QLAbE4B9L._SX309_BO1,204,203,200_.jpg","http://www.amazon.com/Exercises-Programming-Style-Cristina-Videira/dp/1482227371/ref=sr_1_1?s=books&ie=UTF8&qid=1456837804&sr=1-1&keywords=Exercises+in+Programming+Style","","","Software Engineering","Programming",""
"C++ For Dummies","2014","Stephen R. Davis","0.00","http://ecx.images-amazon.com/images/I/51GFbchHH-L._SX397_BO1,204,203,200_.jpg","http://www.amazon.com/C-Dummies-Stephen-R-Davis/dp/111882377X/ref=sr_1_1?s=books&ie=UTF8&qid=1456830933&sr=1-1&keywords=C%2B%2B+For+Dummies","","","Software Engineering","Programming",""
"Programming Principle and Practices using C++","2014","Bjarne Stroustrup","0.00","http://ecx.images-amazon.com/images/I/51j679vpDGL._SX406_BO1,204,203,200_.jpg","http://www.amazon.com/Programming-Principles-Practice-Using-2nd/dp/0321992784/ref=sr_1_1?s=books&ie=UTF8&qid=1456831829&sr=1-1&keywords=Programming+Principle+and+Practices+using+C%2B%2B","","","Software Engineering","Programming",""
"Professional C++","2014","Marc Gregoire","0.00","http://ecx.images-amazon.com/images/I/51EucRw9EYL._SX397_BO1,204,203,200_.jpg","http://www.amazon.com/Professional-C-Marc-Gregoire/dp/1118858050/ref=sr_1_1?s=books&ie=UTF8&qid=1456832009&sr=1-1&keywords=Professional+C%2B%2B+marc+Gregoire","","","Software Engineering","Programming",""
"Java 8 Pocket Guide","2014","Robert Liguori, Patricia Liguori","0.00","http://ecx.images-amazon.com/images/I/51Gx9yhIRxL._SX302_BO1,204,203,200_.jpg","http://www.amazon.com/Java-Pocket-Guide-Robert-Liguori/dp/1491900865/ref=sr_1_1?s=books&ie=UTF8&qid=1456832341&sr=1-1&keywords=Java+8+Pocket+Guide","","","Software Engineering","Programming",""
"Effective Modern C++: 42 Specific Ways to Improve Your Use of C++11 and C++14","2015","Scott Meyers","0.00","http://ecx.images-amazon.com/images/I/51zz8LBi2-L._SX385_BO1,204,203,200_.jpg","http://www.amazon.com/Effective-Modern-Specific-Ways-Improve/dp/1491903996/ref=pd_bxgy_14_img_2?ie=UTF8&refRID=0N1XJQWXR11AKTMRZ42Q","","","Software Engineering","Programming",""
